"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Myeloid-MDS",2,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Myeloid-MPN",23,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"SoftTissue-Leiomyo",15,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Stomach-AdenoCA",69,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"Thy-AdenoCA",48,0,0,0.0198095238095238,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from Pol III Promoter"
"ColoRect-AdenoCA",52,6,0.115384615384615,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Head-SCC",57,4,0.0701754385964912,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Lung-AdenoCA",38,2,0.0526315789473684,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Bladder-TCC",23,1,0.0434782608695652,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Stomach-AdenoCA",69,3,0.0434782608695652,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Eso-AdenoCA",98,4,0.0408163265306122,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Skin-Melanoma",106,3,0.0283018867924528,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Panc-AdenoCA",237,6,0.0253164556962025,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Uterus-AdenoCA",40,1,0.025,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"CNS-GBM",41,1,0.024390243902439,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Lymph-BNHL",107,2,0.0186915887850467,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Liver-HCC",315,5,0.0158730158730159,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Panc-Endocrine",85,1,0.0117647058823529,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Lymph-CLL",95,1,0.0105263157894737,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Kidney-RCC",143,1,0.00699300699300699,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Biliary-AdenoCA",33,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Bone-Benign",16,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Bone-Epith",10,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Breast-AdenoCA",198,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Breast-DCIS",3,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Breast-LobularCA",13,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Cervix-AdenoCA",2,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Cervix-SCC",18,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"CNS-Medullo",146,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"CNS-Oligo",18,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"CNS-PiloAstro",89,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Kidney-ChRCC",45,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Lung-SCC",48,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Myeloid-AML",13,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Myeloid-MDS",2,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Myeloid-MPN",23,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"SoftTissue-Leiomyo",15,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"SoftTissue-Liposarc",19,0,0,0.0171428571428571,"GammadeltaTcells","pos","Ifna Pathway","IFNa Pathway"
"Skin-Melanoma",106,18,0.169811320754717,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"ColoRect-AdenoCA",52,8,0.153846153846154,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Lymph-BNHL",107,14,0.130841121495327,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Lung-SCC",48,5,0.104166666666667,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Uterus-AdenoCA",40,4,0.1,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"CNS-GBM",41,3,0.0731707317073171,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Eso-AdenoCA",98,7,0.0714285714285714,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"CNS-Oligo",18,1,0.0555555555555556,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Lung-AdenoCA",38,2,0.0526315789473684,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Liver-HCC",315,16,0.0507936507936508,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Head-SCC",57,2,0.0350877192982456,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Panc-Endocrine",85,2,0.0235294117647059,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Breast-AdenoCA",198,4,0.0202020202020202,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Ovary-AdenoCA",112,2,0.0178571428571429,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Panc-AdenoCA",237,4,0.0168776371308017,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Kidney-RCC",143,1,0.00699300699300699,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Bladder-TCC",23,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Bone-Benign",16,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Bone-Epith",10,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Bone-Osteosarc",38,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Breast-DCIS",3,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Breast-LobularCA",13,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Cervix-AdenoCA",2,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Cervix-SCC",18,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"CNS-Medullo",146,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"CNS-PiloAstro",89,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Kidney-ChRCC",45,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Lymph-CLL",95,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Myeloid-AML",13,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Myeloid-MDS",2,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Myeloid-MPN",23,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"SoftTissue-Leiomyo",15,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Stomach-AdenoCA",69,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"Thy-AdenoCA",48,0,0,0.0365714285714286,"Macrophages","neg","Positive Regulation Of Dephosphorylation","Positive Regulation of Dephosphorylation"
"ColoRect-AdenoCA",52,9,0.173076923076923,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Skin-Melanoma",106,13,0.122641509433962,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Uterus-AdenoCA",40,4,0.1,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Biliary-AdenoCA",33,2,0.0606060606060606,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Kidney-RCC",143,8,0.0559440559440559,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Lung-AdenoCA",38,2,0.0526315789473684,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Liver-HCC",315,16,0.0507936507936508,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Lymph-BNHL",107,5,0.0467289719626168,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Lung-SCC",48,2,0.0416666666666667,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Breast-AdenoCA",198,7,0.0353535353535354,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Head-SCC",57,2,0.0350877192982456,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Stomach-AdenoCA",69,2,0.0289855072463768,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Bone-Osteosarc",38,1,0.0263157894736842,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"CNS-GBM",41,1,0.024390243902439,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Kidney-ChRCC",45,1,0.0222222222222222,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Thy-AdenoCA",48,1,0.0208333333333333,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Ovary-AdenoCA",112,2,0.0178571428571429,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Panc-AdenoCA",237,3,0.0126582278481013,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Prost-AdenoCA",210,2,0.00952380952380952,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"CNS-Medullo",146,1,0.00684931506849315,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Bladder-TCC",23,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Bone-Benign",16,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Bone-Epith",10,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Breast-DCIS",3,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Breast-LobularCA",13,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Cervix-AdenoCA",2,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Cervix-SCC",18,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"CNS-Oligo",18,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"CNS-PiloAstro",89,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Eso-AdenoCA",98,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Lymph-CLL",95,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Myeloid-AML",13,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Myeloid-MDS",2,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Myeloid-MPN",23,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"Panc-Endocrine",85,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"SoftTissue-Leiomyo",15,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"SoftTissue-Liposarc",19,0,0,0.032,"Macrophages","neg","Respiratory Electron Transport","Respiratory Electron Transport"
"ColoRect-AdenoCA",52,6,0.115384615384615,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Breast-LobularCA",13,1,0.0769230769230769,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
"Skin-Melanoma",106,6,0.0566037735849057,0.0175238095238095,"Macrophages","neg","Sialic Acid Metabolism","Sialic Acid Metabolism"
