"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Myeloid-MDS",2,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Myeloid-MPN",23,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Ovary-AdenoCA",112,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Panc-Endocrine",85,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Prost-AdenoCA",210,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"SoftTissue-Leiomyo",15,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"SoftTissue-Liposarc",19,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Stomach-AdenoCA",69,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Thy-AdenoCA",48,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Uterus-AdenoCA",40,0,0,0.00914285714285714,"Macrophages","pos","Rhoh Gtpase Cycle","RHOH GTPase Cycle"
"Cervix-AdenoCA",2,1,0.5,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Panc-Endocrine",85,32,0.376470588235294,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Myeloid-AML",13,3,0.230769230769231,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"ColoRect-AdenoCA",52,7,0.134615384615385,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Lung-AdenoCA",38,5,0.131578947368421,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Lymph-BNHL",107,14,0.130841121495327,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Skin-Melanoma",106,13,0.122641509433962,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Eso-AdenoCA",98,10,0.102040816326531,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Bone-Epith",10,1,0.1,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Bladder-TCC",23,2,0.0869565217391304,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Uterus-AdenoCA",40,3,0.075,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Stomach-AdenoCA",69,5,0.072463768115942,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Myeloid-MPN",23,1,0.0434782608695652,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Lung-SCC",48,2,0.0416666666666667,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Breast-AdenoCA",198,8,0.0404040404040404,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Head-SCC",57,2,0.0350877192982456,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Kidney-RCC",143,4,0.027972027972028,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"CNS-GBM",41,1,0.024390243902439,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"CNS-Medullo",146,2,0.0136986301369863,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Liver-HCC",315,4,0.0126984126984127,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Panc-AdenoCA",237,1,0.00421940928270042,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Bone-Benign",16,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Bone-Osteosarc",38,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Breast-DCIS",3,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Breast-LobularCA",13,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Cervix-SCC",18,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"CNS-Oligo",18,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"CNS-PiloAstro",89,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Kidney-ChRCC",45,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Lymph-CLL",95,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Myeloid-MDS",2,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Prost-AdenoCA",210,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"SoftTissue-Leiomyo",15,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"SoftTissue-Liposarc",19,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Thy-AdenoCA",48,0,0,0.0468571428571429,"MHCregulators","neg","Protein Methylation","Protein Methylation"
"Skin-Melanoma",106,21,0.19811320754717,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"ColoRect-AdenoCA",52,7,0.134615384615385,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Head-SCC",57,7,0.12280701754386,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Bladder-TCC",23,2,0.0869565217391304,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Lung-AdenoCA",38,3,0.0789473684210526,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Liver-HCC",315,24,0.0761904761904762,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Uterus-AdenoCA",40,3,0.075,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Kidney-ChRCC",45,3,0.0666666666666667,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"SoftTissue-Leiomyo",15,1,0.0666666666666667,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Lung-SCC",48,3,0.0625,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Stomach-AdenoCA",69,4,0.0579710144927536,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Bone-Osteosarc",38,2,0.0526315789473684,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Eso-AdenoCA",98,5,0.0510204081632653,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"CNS-GBM",41,2,0.048780487804878,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Lymph-BNHL",107,5,0.0467289719626168,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Breast-AdenoCA",198,9,0.0454545454545455,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Kidney-RCC",143,6,0.041958041958042,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Panc-AdenoCA",237,6,0.0253164556962025,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Panc-Endocrine",85,2,0.0235294117647059,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Ovary-AdenoCA",112,2,0.0178571428571429,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Prost-AdenoCA",210,2,0.00952380952380952,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"CNS-Medullo",146,1,0.00684931506849315,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Bone-Benign",16,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Bone-Epith",10,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Breast-DCIS",3,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Breast-LobularCA",13,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Cervix-AdenoCA",2,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Cervix-SCC",18,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"CNS-Oligo",18,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"CNS-PiloAstro",89,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Lymph-CLL",95,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Myeloid-AML",13,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Myeloid-MDS",2,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Myeloid-MPN",23,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"Thy-AdenoCA",48,0,0,0.0464761904761905,"MHCregulators","neg","Macroautophagy","Macroautophagy"
"ColoRect-AdenoCA",52,10,0.192307692307692,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Cervix-SCC",18,3,0.166666666666667,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Head-SCC",57,9,0.157894736842105,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Lung-AdenoCA",38,5,0.131578947368421,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Skin-Melanoma",106,13,0.122641509433962,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Bladder-TCC",23,2,0.0869565217391304,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Breast-LobularCA",13,1,0.0769230769230769,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Lung-SCC",48,3,0.0625,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Biliary-AdenoCA",33,2,0.0606060606060606,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Lymph-BNHL",107,6,0.0560747663551402,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"CNS-GBM",41,2,0.048780487804878,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Breast-AdenoCA",198,8,0.0404040404040404,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Liver-HCC",315,11,0.0349206349206349,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Eso-AdenoCA",98,3,0.0306122448979592,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Stomach-AdenoCA",69,2,0.0289855072463768,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Kidney-RCC",143,4,0.027972027972028,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Ovary-AdenoCA",112,3,0.0267857142857143,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Panc-AdenoCA",237,5,0.0210970464135021,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Lymph-CLL",95,2,0.0210526315789474,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Panc-Endocrine",85,1,0.0117647058823529,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Bone-Benign",16,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Bone-Epith",10,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Breast-DCIS",3,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Cervix-AdenoCA",2,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"CNS-Medullo",146,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"CNS-Oligo",18,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"CNS-PiloAstro",89,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Kidney-ChRCC",45,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Myeloid-AML",13,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Myeloid-MDS",2,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Myeloid-MPN",23,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"SoftTissue-Leiomyo",15,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"SoftTissue-Liposarc",19,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"Uterus-AdenoCA",40,0,0,0.0373333333333333,"MHCregulators","neg","Carbohydrate Biosynthetic Process","Carbohydrate Biosynthetic Process"
"ColoRect-AdenoCA",52,9,0.173076923076923,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Cervix-SCC",18,3,0.166666666666667,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Lung-AdenoCA",38,6,0.157894736842105,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Head-SCC",57,5,0.087719298245614,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Breast-LobularCA",13,1,0.0769230769230769,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Skin-Melanoma",106,8,0.0754716981132075,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Bone-Benign",16,1,0.0625,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Biliary-AdenoCA",33,2,0.0606060606060606,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Ovary-AdenoCA",112,6,0.0535714285714286,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"CNS-GBM",41,2,0.048780487804878,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Panc-AdenoCA",237,8,0.0337552742616034,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Eso-AdenoCA",98,3,0.0306122448979592,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Breast-AdenoCA",198,6,0.0303030303030303,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Lymph-BNHL",107,3,0.0280373831775701,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Uterus-AdenoCA",40,1,0.025,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Panc-Endocrine",85,2,0.0235294117647059,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Kidney-RCC",143,3,0.020979020979021,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Lung-SCC",48,1,0.0208333333333333,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Stomach-AdenoCA",69,1,0.0144927536231884,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"CNS-Medullo",146,2,0.0136986301369863,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Liver-HCC",315,4,0.0126984126984127,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Lymph-CLL",95,1,0.0105263157894737,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Bladder-TCC",23,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Bone-Epith",10,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Bone-Osteosarc",38,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Breast-DCIS",3,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Cervix-AdenoCA",2,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"CNS-Oligo",18,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"CNS-PiloAstro",89,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Kidney-ChRCC",45,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Myeloid-AML",13,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Myeloid-MDS",2,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Myeloid-MPN",23,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Prost-AdenoCA",210,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"SoftTissue-Leiomyo",15,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"SoftTissue-Liposarc",19,0,0,0.0300952380952381,"MHCregulators","neg","Glycosylation","Glycosylation"
"Bladder-TCC",23,2,0.0869565217391304,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"ColoRect-AdenoCA",52,4,0.0769230769230769,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Skin-Melanoma",106,6,0.0566037735849057,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Uterus-AdenoCA",40,2,0.05,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Kidney-ChRCC",45,2,0.0444444444444444,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Liver-HCC",315,10,0.0317460317460317,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Stomach-AdenoCA",69,2,0.0289855072463768,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"CNS-GBM",41,1,0.024390243902439,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Panc-Endocrine",85,2,0.0235294117647059,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Lung-SCC",48,1,0.0208333333333333,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Eso-AdenoCA",98,2,0.0204081632653061,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Breast-AdenoCA",198,4,0.0202020202020202,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Kidney-RCC",143,2,0.013986013986014,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Panc-AdenoCA",237,3,0.0126582278481013,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Lymph-BNHL",107,1,0.00934579439252336,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Biliary-AdenoCA",33,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Bone-Benign",16,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Bone-Epith",10,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Breast-DCIS",3,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Breast-LobularCA",13,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Cervix-AdenoCA",2,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Cervix-SCC",18,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"CNS-Medullo",146,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"CNS-Oligo",18,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"CNS-PiloAstro",89,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Head-SCC",57,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Lymph-CLL",95,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Myeloid-AML",13,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Myeloid-MDS",2,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Myeloid-MPN",23,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Prost-AdenoCA",210,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"SoftTissue-Leiomyo",15,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"SoftTissue-Liposarc",19,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Thy-AdenoCA",48,0,0,0.0179047619047619,"MHCregulators","neg","Negative Regulation Of Tor Signaling","Negative Regulation of TOR Signaling"
"Bone-Epith",10,1,0.1,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Bladder-TCC",23,2,0.0869565217391304,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"ColoRect-AdenoCA",52,4,0.0769230769230769,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Skin-Melanoma",106,4,0.0377358490566038,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Eso-AdenoCA",98,3,0.0306122448979592,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Stomach-AdenoCA",69,2,0.0289855072463768,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Uterus-AdenoCA",40,1,0.025,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Ovary-AdenoCA",112,2,0.0178571428571429,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Breast-AdenoCA",198,3,0.0151515151515152,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Kidney-RCC",143,2,0.013986013986014,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"CNS-Medullo",146,2,0.0136986301369863,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Liver-HCC",315,4,0.0126984126984127,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Panc-Endocrine",85,1,0.0117647058823529,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Lymph-BNHL",107,1,0.00934579439252336,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Panc-AdenoCA",237,1,0.00421940928270042,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Biliary-AdenoCA",33,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Bone-Benign",16,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Bone-Osteosarc",38,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Breast-DCIS",3,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
"Breast-LobularCA",13,0,0,0.0125714285714286,"MHCregulators","neg","Histone Ubiquitination","Histone Ubiquitination"
