"Name_pos","Score_pos","Rank_pos","HumanGene","hommel_p_pos","fdr_pos","mean_score_pos","sd_score_pos","n_screens_pos","Name_neg","Score_neg","Rank_neg","hommel_p_neg","fdr_neg","mean_score_neg","sd_score_neg","n_screens_neg","Direction","cell_type","Score","P_value","Category","Regulation"
"CLEC12A",1,13538,"CLEC12A",1,1,-0.0493823917908888,0.53554307162261,13,"CLEC12A",1,9983,1,1,-0.129417842819344,0.563978758360165,13,"NS","NKcells",-0.0894001173051163,0.05,"NK cell","NK cell"
"PIGS",1,13539,"PIGS",1,1,-0.0171847192875332,0.578853086148098,13,"PIGS",1,10490,1,1,-0.062039072560816,0.577128012157061,13,"NS","NKcells",-0.0396118959241746,0.05,"NK cell","NK cell"
"SLC17A3",1,13540,"SLC17A3",1,1,0.0601779393288576,0.640417369926855,13,"SLC17A3",0.718749874720992,5863,0.325731560137085,1,0.162258411331593,0.580137762143174,13,"NS","NKcells",0.111218175330225,0.05,"NK cell","NK cell"
"CCDC62",1,13541,"CCDC62",1,1,-0.166436945871274,0.431418185763453,13,"CCDC62",1,13787,1,1,0.03955448425401,0.657219514063773,13,"NS","NKcells",-0.0634412308086318,0.05,"NK cell","NK cell"
"KLHDC1",1,13542,"KLHDC1",1,1,-0.174288538957288,0.501616486905045,13,"KLHDC1",0.189997274481277,2146,1,1,-0.00155004991001519,0.592289919282733,13,"NS","NKcells",-0.0879192944336517,0.05,"NK cell","NK cell"
"KIF1C",1,13543,"KIF1C",1,1,0.0645418107029286,0.641292808490968,13,"KIF1C",0.045758920331387,749,1,1,0.337203919842245,0.495331875246061,13,"NS","NKcells",0.200872865272587,0.05,"NK cell","NK cell"
"GRM7",1,13544,"GRM7",1,1,-0.357918188530217,0.41847328188047,13,"GRM7",0.447600210409085,4108,1,1,0.0199356881304821,0.364105296295952,13,"NS","NKcells",-0.168991250199868,0.05,"NK cell","NK cell"
"VPS13A",1,13545,"VPS13A",1,1,-0.226226004145536,0.491390558199149,13,"VPS13A",1,8604,1,1,-0.111783831659944,0.528943695904876,13,"NS","NKcells",-0.16900491790274,0.05,"NK cell","NK cell"
"TMEM52B",1,13546,"TMEM52B",1,1,-0.108276407489075,0.503937956848201,13,"TMEM52B",0.878991430983977,6706,1,1,0.133601595204759,0.537753355849924,13,"NS","NKcells",0.012662593857842,0.05,"NK cell","NK cell"
"CPSF6",1,13547,"CPSF6",1,1,-0.250564492561702,0.523500176429907,13,"CPSF6",1,10557,0.218077672258297,1,-0.000699224247743696,0.533881956348247,13,"NS","NKcells",-0.125631858404723,0.05,"NK cell","NK cell"
"TEX10",1,13548,"TEX10",0.882480756782107,1,-0.104828918611218,0.622942803281912,13,"TEX10",0.112039930014028,1430,1,1,0.279163999716704,0.574119306702142,13,"NS","NKcells",0.0871675405527427,0.05,"NK cell","NK cell"
"TNFSF4",1,13549,"TNFSF4",1,1,-0.0177650153459324,0.623629471167943,13,"TNFSF4",0.824139480371711,6414,1,1,0.0409488415936134,0.625494956188388,13,"NS","NKcells",0.0115919131238405,0.05,"NK cell","NK cell"
"EHMT1",1,13550,"EHMT1",1,1,-0.0169886127562602,0.521477909989962,13,"EHMT1",1,15576,1,1,0.0179119968995687,0.57365781363406,13,"NS","NKcells",0.00046169207165426,0.05,"NK cell","NK cell"
"PADI2",1,13551,"PADI2",1,1,0.0957844786659967,0.562008660810541,13,"PADI2",1,11990,1,1,-0.0540786660830253,0.565714369231074,13,"NS","NKcells",0.0208529062914857,0.05,"NK cell","NK cell"
"TUBB4B",1,13552,"TUBB4B",1,1,-0.186153654229855,0.542120044776622,13,"TUBB4B",0.0698710734174594,1009,0.0442770022727273,1,0.40984538311383,0.568186217666323,13,"Neg","NKcells",-0.40984538311383,0.0442770022727273,"NK cell","NK cell*"
"CASQ1",1,13553,"CASQ1",1,1,0.106936279208938,0.613280820260936,13,"CASQ1",1,8559,0.0806990741702742,1,0.155290567690099,0.578200113695578,13,"NS","NKcells",0.131113423449519,0.05,"NK cell","NK cell"
"CCDC69",1,13554,"CCDC69",1,1,-0.184689803405486,0.426352097033491,13,"CCDC69",0.607632586022841,5157,1,1,0.0258008416887022,0.514169268012509,13,"NS","NKcells",-0.0794444808583918,0.05,"NK cell","NK cell"
"CDCA8",1,13555,"CDCA8",1,1,-0.666596263705726,0.242793481394214,13,"CDCA8",0.0440133486361113,721,1,1,0.351434438719593,0.562170248109858,13,"NS","NKcells",-0.157580912493067,0.05,"NK cell","NK cell"
"GPR183",1,13556,"GPR183",1,1,-0.0640340572540455,0.589185246191166,13,"GPR183",1,15189,1,1,-0.293814293661701,0.654686839062873,13,"NS","NKcells",-0.178924175457873,0.05,"NK cell","NK cell"
"MAFG",1,13557,"MAFG",1,1,-0.271570178807588,0.590964586878355,13,"MAFG",1,13912,1,1,-0.137034790489353,0.562064552827573,13,"NS","NKcells",-0.20430248464847,0.05,"NK cell","NK cell"
"TLR1",1,13558,"TLR1",1,1,0.0740127313015845,0.467904266917152,13,"TLR1",1,14776,1,1,-0.083334228716317,0.549152768812214,13,"NS","NKcells",-0.00466074870736625,0.05,"NK cell","NK cell"
"SFRP4",1,13559,"SFRP4",1,1,-0.0178241094924247,0.512382193668295,13,"SFRP4",1,10889,1,1,-0.0173799587564121,0.550334960468155,13,"NS","NKcells",-0.0176020341244184,0.05,"NK cell","NK cell"
"STARD10",1,13560,"STARD10",1,1,-0.088191765036186,0.596659822168532,13,"STARD10",1,12869,1,1,-0.00219497578859989,0.550218548821637,13,"NS","NKcells",-0.0451933704123929,0.05,"NK cell","NK cell"
"ADTRP",1,13561,"ADTRP",1,1,0.00526002454812334,0.48348551680182,13,"ADTRP",1,9823,1,1,0.0740569505069629,0.482487776300343,13,"NS","NKcells",0.0396584875275431,0.05,"NK cell","NK cell"
"USP38",1,13562,"USP38",1,1,-0.144402462619981,0.59306423472326,13,"USP38",1,10351,1,1,0.0405645490229041,0.492479363209529,13,"NS","NKcells",-0.0519189567985384,0.05,"NK cell","NK cell"
"ZNF568",1,13563,"ZNF568",1,1,-0.28364981003701,0.666820817848145,13,"ZNF568",0.445695058073704,4086,1,1,0.202966359928492,0.574692178957612,13,"NS","NKcells",-0.0403417250542585,0.05,"NK cell","NK cell"
"LONRF1",1,13564,"LONRF1",1,1,-0.138774818169141,0.508291809713438,13,"LONRF1",0.338804000006697,3304,1,1,0.316045026017434,0.561622575376311,13,"NS","NKcells",0.0886351039241469,0.05,"NK cell","NK cell"
"PPTC7",1,13565,"PPTC7",1,1,-0.112765681305125,0.593146035917229,13,"PPTC7",0.0124865614607441,277,0.325731560137085,1,0.214098849616209,0.635023038740109,13,"NS","NKcells",0.0506665841555418,0.05,"NK cell","NK cell"
"TMEM242",1,13566,"TMEM242",1,1,-0.0879570059194854,0.505930367535255,13,"TMEM242",1,7911,1,1,-0.122310032881604,0.659129557058587,13,"NS","NKcells",-0.105133519400545,0.05,"NK cell","NK cell"
